"","long_start","long_end","lat_start","lat_end","center_long","center_lat","area","depth","lbl","tif","tab","long_dir","lat_dir","width","corrupt"
"21075",117.99055,321.19938,74.843521,80.048396,39.594965,77.4459585,816.078441,0.161929518,"Radar_Images/tiff/s_0551xx/s_05514302_tiff.lbl","Radar_Images/tiff/s_0551xx/s_05514302_tiff.tif","Radar_Images/geom/s_0551xx/s_05514302_geom.tab","decreasing","increasing",3151,"good"
"17912",86.762131,290.88888,74.960167,80.041246,8.8255055,77.5007065,792.0043023,0.4153906703,"Radar_Images/tiff/s_0463xx/s_04633601_tiff.lbl","Radar_Images/tiff/s_0463xx/s_04633601_tiff.tif","Radar_Images/geom/s_0463xx/s_04633601_geom.tab","decreasing","increasing",3132,"good"
"22605",296.8277,140.00437,75.014465,79.883725,218.416035,77.449095,763.6135678,0.1640407443,"Radar_Images/tiff/s_0583xx/s_05831502_tiff.lbl","Radar_Images/tiff/s_0583xx/s_05831502_tiff.tif","Radar_Images/geom/s_0583xx/s_05831502_geom.tab","decreasing","increasing",3150,"good"
"6547",22.342997,10.473713,75.208046,29.849315,16.408355,52.5286805,538.3756601,0.2250992805,"Radar_Images/tiff/s_0166xx/s_01667601_tiff.lbl","Radar_Images/tiff/s_0166xx/s_01667601_tiff.tif","Radar_Images/geom/s_0166xx/s_01667601_geom.tab","decreasing","decreasing",5856,"good"
"14410",198.58984,183.38422,-74.5733,-0.306497,190.98703,-37.4398985,1129.272785,-32768,"Radar_Images/tiff/s_0371xx/s_03716801_tiff.lbl","Radar_Images/tiff/s_0371xx/s_03716801_tiff.tif","Radar_Images/geom/s_0371xx/s_03716801_geom.tab","decreasing","increasing",9581,"good"
"10964",179.03594,173.91309,30.617685,-10.28876,176.474515,10.1644625,209.5575818,-32768,"Radar_Images/tiff/s_0270xx/s_02702102_tiff.lbl","Radar_Images/tiff/s_0270xx/s_02702102_tiff.tif","Radar_Images/geom/s_0270xx/s_02702102_geom.tab","decreasing","decreasing",5275,"good"
"23242",170.69563,166.89493,24.74206,49.676364,168.79528,37.209212,94.76780921,-32768,"Radar_Images/tiff/s_0598xx/s_05987601_tiff.lbl","Radar_Images/tiff/s_0598xx/s_05987601_tiff.tif","Radar_Images/geom/s_0598xx/s_05987601_geom.tab","decreasing","increasing",3215,"good"
"1664",138.1416,118.11982,79.936729,10.024998,128.13071,44.9808635,1399.757298,0.3922889233,"Radar_Images/tiff/s_0050xx/s_00502901_tiff.lbl","Radar_Images/tiff/s_0050xx/s_00502901_tiff.tif","Radar_Images/geom/s_0050xx/s_00502901_geom.tab","decreasing","decreasing",9029,"good"
"23687",79.167572,71.679241,49.700619,-3.470599,75.4234065,23.11501,398.1636801,-32768,"Radar_Images/tiff/s_0615xx/s_06158701_tiff.lbl","Radar_Images/tiff/s_0615xx/s_06158701_tiff.tif","Radar_Images/geom/s_0615xx/s_06158701_geom.tab","decreasing","decreasing",6857,"good"
"13002",221.94141,217.43275,34.690182,0.0717173,219.68708,17.38094965,156.0828871,-32768,"Radar_Images/tiff/s_0352xx/s_03527401_tiff.lbl","Radar_Images/tiff/s_0352xx/s_03527401_tiff.tif","Radar_Images/geom/s_0352xx/s_03527401_geom.tab","decreasing","decreasing",4465,"good"
"13058",286.13217,282.86229,6.5053592,-19.78998,284.49723,-6.6423104,85.98260374,-32768,"Radar_Images/tiff/s_0353xx/s_03537801_tiff.lbl","Radar_Images/tiff/s_0353xx/s_03537801_tiff.tif","Radar_Images/geom/s_0353xx/s_03537801_geom.tab","decreasing","decreasing",3392,"good"
