"","long_start","long_end","lat_start","lat_end","center_long","center_lat","area","depth","lbl","tif","tab","long_dir","lat_dir","width","corrupt"
"15123",182.01544,20.453547,-71.96621,-78.01508,101.2344935,-74.990645,977.2668877,0.052033346,"Radar_Images/tiff/s_0383xx/s_03832201_tiff.lbl","Radar_Images/tiff/s_0383xx/s_03832201_tiff.tif","Radar_Images/geom/s_0383xx/s_03832201_geom.tab","decreasing","decreasing",3795,"good"
"10693",66.888191,62.729099,31.150972,-1.1868,64.808645,14.982086,134.4957688,-32768,"Radar_Images/tiff/s_0267xx/s_02673501_tiff.lbl","Radar_Images/tiff/s_0267xx/s_02673501_tiff.tif","Radar_Images/geom/s_0267xx/s_02673501_geom.tab","decreasing","decreasing",4171,"good"
"12195",111.05247,102.06942,-0.99104,-59.69437,106.560945,-30.342705,527.3349486,-32768,"Radar_Images/tiff/s_0333xx/s_03330101_tiff.lbl","Radar_Images/tiff/s_0333xx/s_03330101_tiff.tif","Radar_Images/geom/s_0333xx/s_03330101_geom.tab","decreasing","decreasing",7570,"good"
"12455",241.41544,80.456876,71.82608,78.040337,160.936158,74.9332085,1000.237883,0.101604283,"Radar_Images/tiff/s_0340xx/s_03409301_tiff.lbl","Radar_Images/tiff/s_0340xx/s_03409301_tiff.tif","Radar_Images/geom/s_0340xx/s_03409301_geom.tab","decreasing","increasing",3806,"good"
"18965",120.49175,323.93418,74.893814,79.995339,42.212965,77.4445765,798.6823573,0.179355025,"Radar_Images/tiff/s_0481xx/s_04812802_tiff.lbl","Radar_Images/tiff/s_0481xx/s_04812802_tiff.tif","Radar_Images/geom/s_0481xx/s_04812802_geom.tab","decreasing","increasing",3150,"good"
"16972",73.813217,276.35019,74.993111,79.917186,355.0817035,77.4551485,775.3597547,0.0932348,"Radar_Images/tiff/s_0443xx/s_04439801_tiff.lbl","Radar_Images/tiff/s_0443xx/s_04439801_tiff.tif","Radar_Images/geom/s_0443xx/s_04439801_geom.tab","decreasing","increasing",3152,"good"
"18259",183.81729,176.37454,-29.68807,-66.71468,180.095915,-48.201375,275.5798016,-32768,"Radar_Images/tiff/s_0469xx/s_04690701_tiff.lbl","Radar_Images/tiff/s_0469xx/s_04690701_tiff.tif","Radar_Images/geom/s_0469xx/s_04690701_geom.tab","decreasing","decreasing",4776,"good"
"7675",231.13577,222.26859,-0.760852,-59.35994,226.70218,-30.060396,519.6086611,-32768,"Radar_Images/tiff/s_0196xx/s_01966201_tiff.lbl","Radar_Images/tiff/s_0196xx/s_01966201_tiff.tif","Radar_Images/geom/s_0196xx/s_01966201_geom.tab","decreasing","decreasing",7556,"good"
"8984",140.5042,134.68457,50.068695,9.416348,137.594385,29.7425215,236.5816182,-32768,"Radar_Images/tiff/s_0242xx/s_02422701_tiff.lbl","Radar_Images/tiff/s_0242xx/s_02422701_tiff.tif","Radar_Images/geom/s_0242xx/s_02422701_geom.tab","decreasing","decreasing",5241,"good"
"14933",42.202806,241.1123,-71.98134,-77.82051,321.657553,-74.900925,940.6348499,0.085639983,"Radar_Images/tiff/s_0379xx/s_03797101_tiff.lbl","Radar_Images/tiff/s_0379xx/s_03797101_tiff.tif","Radar_Images/geom/s_0379xx/s_03797101_geom.tab","decreasing","decreasing",3815,"good"
